"text", "translation"
"都会の洗礼？","Urban baptism?"
"左回りの癖","Habit of turning left"
"華麗なステップで","With gorgeous steps."
"ドライブ日和！","Nice day for a drive!"
"華麗な王子様","The Prince of Splendor"
"オグリのランチ","Ogli's Lunch"
"見りゃわかんだろ！","You know what I'm talking about!"
"かっこつけたいお年頃","(at an) age where one wants to be cool"
"秘密の手帳","Secret notebook"
"ゲートが狭い！？","The gate is too narrow!"
"お茶会しましょ？","Shall we have tea?"
"全力を尽くして","With all one's might."
"カロリー制限中！","I'm restricting calories!"
"サルサ・ヴィダは魂！","Salsa vida is the soul!"
"もちろんカーテンコールも","And of course, the curtain call."
"我慢強さ","Fortitude"
"日々是トレーニング","Daily Training"
"女帝の鼓舞！","Inspire the Empress!"
"捗ります","I'm working on it."
"サボりじゃないよ使命だよ","I'm not slacking off, I'm on a mission."
"関西魂","Kansai spirit"
"大発見！","Great discovery!"
"頭でっかち","Top-heavy"
"わかっちゃった♪","I got it."
"アナタの後ろにも…","And behind you..."
"サイボーグウマ娘…？","Cyborg Uma Musume...?"
"かわいさへの憧れ","Longing for cuteness"
"育ち盛りだから！","I'm growing up!"
"雪国の言葉","Language of the Snow Country"
"不幸を呼ぶ子？","A child who brings misfortune?"
"買い物上手","Good shopper"
"飲んでみてくれたまえ ","You should try it. "
"あの星はね…","That star..."
"火の用心","Watch out for fire"
"開始1分","One minute to go."
"ブドウ糖補給中","Glucose is being replenished."
"緻密な計画","Meticulous planning"
"#カワイイカレンチャン","#KawaiiCurrenchan"
"憧れの貴方と…","With the man of your dreams..."
"現役モデルですから","She's an active model."
"勢いでGO！","Go with the flow!"
"私たちが目指すのは！","That's what we're going for!"
"つい噛んじゃうのだ…","I bite my tongue..."
"使い魔にな～あれ♪","I'll be your errand boy."
"甘えさせたい","I want to spoil him."
"ウマドル道も一歩ずつ！","One step at a time on the road to Umadolu!"
"たくさんあります！","There are so many!"
"押したい背中","The back you want to push"
"持たない主義","Have-not policy"
"余計なお世話","It's none of your business"
"お役に立ちます！","We're here to help!"
"笑顔は一等賞！","A smile is first prize!"
"風紀の鬼！","The demon of public morals!"
"憧れのヒーロー！","The hero of my dreams!"
"あなたも私も","You and me both."
"ドジで台無し","You screwed up and ruined it."
"だって、行きたかったから","Because I wanted to go."
"今日こそ、明日こそ","Today is the day, tomorrow is the day."
"本人無自覚","Unconsciousness"
"ねーちゃんではない","I'm not a nee-chan."
"キングに諦めはなし","The King never gives up."
"それってまさか！？","That's no way!"
"鉄壁の管理","Ironclad management"
"イマドキはムズカシイ","I don't know what to do."
"ことわざウェーイ！","Proverbial way to go!"
"達筆！","Masterful writing!"
"今でも欠かせません","It's still indispensable."
"染みついたこぶし","Smeared fist"
"チヨノオー流格言","Chiyonoean proverb"
"それは気高く…","It's a noble..."
"生活即鍛錬也","Life is but an exercise in discipline"
"ラストスパートであまり速く走れなかったら\nスピード不足かもしれませんよ。","If you can't run very fast in the last spurt, you might not be fast enough."
"終盤で順位が下がりやすいなと思ったら\nスタミナ切れかもしれませんよ。","If you feel that you tend to drop in the rankings at the end of the race, you may be out of stamina."
"なかなか前に行かないなと思ったら\nパワーをつけると良いかもしれませんよ。","If you feel like you're not moving forward very well, you might want to power up."
"終盤の追い上げが課題だなと思ったら\n根性が足りないのかもしれませんよ。","If you find that catching up at the end of the day is a challenge, you may not have enough guts."
"賢さが高いと、上手く位置取りできたり\nスキルを発揮しやすいみたいですよ。","It seems that if you have a high level of cleverness, it's easier to position yourself well and demonstrate your skills."
"マニーやサポートポイントが不足したら\nデイリーレースに出走してみましょう。","If you run out of Manny or Support Points, try running in the Daily Race."
"サポートカードやウマ娘の強化は\nレースの勝利にかなり重要ですよ。","Strengthening your support cards and horse girls is quite important for winning races."
"レースの勝敗は、天気やレース展開など\n時には運が左右することも……。","The winner of a race can sometimes be determined by luck, such as weather and race development. ......"
"サポートカードのLvを上げると\nより良いサポート効果が得られますよ。","You can get better support effects by raising the Lv of your support cards."
"サポートカードを上限解放して強化すると\n強力なサポート効果が得られますよ。","If you release the upper limit of your support cards and strengthen them, you can get powerful support effects."
"サポート効果「やる気効果アップ」は、\nマイナス効果もアップするので注意！","Note that the support effect \"Increased Motivation Effect\" also increases the negative effect!"
"サポート効果「友情ボーナス」は、\n友情トレーニングの効果が高くなります。","The support effect \"Friendship Bonus\" increases the effectiveness of friendship training."
"サポート効果「パラメータボーナス」系は\nトレーニングの際に効果を発揮しますよ。","The support effect \"parameter bonus\" system will be effective during training."
"サポート効果「トレーニング効果アップ」は\nどのトレーニングでも効果を発揮しますよ。","The support effect \"Training Effectiveness Up\" will be effective in any training."
"サポート効果「初期パラメータアップ」系は\n高い基礎能力で育成を開始できますよ。","The support effect \"initial parameter increase\" system allows you to start training with high basic abilities."
"サポート効果「初期絆ゲージアップ」は\n早く絆ゲージを上げたい時にオススメです。","The support effect \"Initial Bond Gauge Up\" is recommended when you want to raise your bond gauge quickly."
"サポート効果「レースボーナス」と「ファン\n数ボーナス」は目標レースも対象です。","The support effects \"Race Bonus\" and \"Fan Count Bonus\" also apply to target races."
"サポート効果「レースボーナス」は\nスキルPtを獲得したい時にオススメです。","The support effect \"Race Bonus\" is recommended when you want to gain SkillPt."
"サポート効果「ヒントLvアップ」は、\n一度に上がるヒントLvが高くなりますよ。","The support effect \"Hint Lv Up\" will increase your hint Lv at a time."
"サポート効果「ヒント発生率アップ」は\nヒントイベントが起きやすくなりますよ。","The support effect \"hint generation rate up\" will make it easier for hint events to occur."
"サポート効果「得意率アップ」は、\n得意トレーニングに登場しやすくなります。","The support effect \"Increase your specialty rate\" makes it easier for you to appear in your specialty training."
"サポート効果「イベント回復量アップ」は\nイベントでの体力回復量が増えます。","The support effect \"Event Recovery Amount Increase\" increases the amount of energy recovery in events."
"サポート効果「イベント効果アップ」は\nイベントで得られる効果が上昇します。","The support effect \"Event Effect Increase\" will increase the effect obtained from events."
"サポート効果「失敗率ダウン」は、一緒に\nトレーニングすると失敗しにくくなります。","The support effect \"Failure Rate Down\" makes it harder to fail when you train with them."
"サポート効果「体力消費ダウン」は、一緒に\nトレーニングすると体力が減りにくいです。","The support effect \"Physical Strength Consumption Down\" prevents you from losing physical strength when you train with them."
