"text", "translation"
"「{0}」で獲得した報酬です。","Reward from \"{0}\"."
"ストーリー「{0}」で獲得した報酬です。","\"{0}\" story reward."
"ウマ娘交換Ptで獲得したアイテムです。","Items acquired with \\nUmaMusu Exchange \\nPoints."
"提供期間を過ぎたウマ娘交換Ptを自動変換したアイテムです。","From converting \\nexpired UmaMusu \\nExchange Points."
"銀の女神像交換で獲得したアイテムです。","Items acquired \\nthrough Silver \\nStatue Exchange."
"金の女神像交換で獲得したアイテムです。","Items acquired \\nthrough Gold Statue \\nExchange."
"虹の女神像交換で獲得したアイテムです。","Items acquired \\nthrough Rainbow \\nStatue Exchange."
"交換で獲得したアイテムです。","Items acquired\\nin the exchange."
"{0}で獲得したアイテムです。","Items acquired in\\n{0}."
"ホリデーレース予選{0}着で獲得した報酬です。","Reward from the {0} \\nHoliday Race \\nQualifier."
"ホリデーレース本選{0}着で獲得した報酬です。","Reward for finishing \\n{0} in the Holiday \\nRace Finals."
"ホリデーレース予選{0}位のランキング報酬です。","Reward for finishing \\n{0} in the Holiday \\nRace Qualifiers."
"ウマ娘応援投票で獲得した報酬です。","Reward from the Uma \\nMusume Support Poll."
"{0}月ファン数ランキング{1}位の報酬です。","Reward for ranking \\n{1} in fan count of \\nmonth {0}."
"優駿メダル交換で獲得したアイテムです。","Items obtained from \\nthe Yuushun Medal \\nExchange."
"育成GOODENDで獲得したアイテムです。","Items obtained \\nthrough a training \\nGOOD END."
"育成で獲得したアイテムです。","Items obtained\\nthrough training."
"{0}の{1}日目で獲得した報酬です。","Reward earned on day \\n{1} of {0}."
"{0}で受け取れていなかった日の報酬です。","Reward for missed \\ndays in {0}."
"{0}年{1}月のサークルランキング報酬です。","Circle ranking \\nreward for {1}/{0}."
"育成サポートで、{0}人サポートした報酬です。","Reward for \\nsupporting {0} \\ntrainer's training."
"アイテムリクエストで寄付されたアイテムです。","Items donated\\nby item request."
"名鑑Lvアップの報酬です。","Reward for increasing \\nthe Index level."
"トロフィー獲得の報酬です。","Reward for\\nwinning trophies."
"チーム競技場のCLASS報酬です。","CLASS reward from\\nthe team arena."
"最高チーム評価点更新の報酬です。","Reward for improving \\nyour max team rating."
"親愛度ランクアップの報酬です。","Reward for increasing \\naffection level."
"代表ウマ娘をレンタルされた報酬です。（1日あたり上限100まで）","Reward from renting \\nout your support \\nhorse girl. (Max \\n100/day)"
"レジェンドレースの限定ミッションで獲得した報酬です。","Limited missions \\nreward from Legend \\nRaces."
"シナリオレコードの報酬です。","Scenario Record \\nreward."
"チャンピオンズミーティングで獲得した報酬です。","Reward earned at the \\nChampions Meeting."
"余ったルーレットコインが変換されたマニーです。","Money converted \\nfrom leftover roulette \\ncoins."
"「デイリーミッション」で獲得した報酬です。","Reward from\\nDaily Missions."
"「トレーナー技能試験」で獲得した報酬です。","Reward from \\nTrainer's \\nProficiency Exam."
"「トレーナー技能試験」で受け取り切れなかった報酬です","Unobtained reward \\nfrom Trainer's \\nProficiency Exam."
"Google Play Pointで反映\\nしなかったアイテムの補てんです。","Compensation for \\nitems not received \\nfrom Google Play \\nPoints."
"レーシングカーニバルの限定ミッションで獲得した報酬です。","Reward from Racing \\nCarnival limited \\nmissions."
"みんなでトップウマドルプロジェクトで獲得した報酬です。","Top Umadol project \\nreward."
"目指せ！最強チームの限定ミッションで獲得した報酬です。","Reward from \\n\"Target: Top Team!\" \\nlimited missions."
"「ウマさんぽキャンペーン」で獲得した報酬です。","Reward from the Uma \\nStroll Campaign"
"「{0}」で獲得したクリスマスプレゼントです。","Christmas present \\nfrom 「{0}」"
"イベント「{0}」で\\n達成したイベント個人報酬です。","Individual rewards \\nfrom the \"{0}\" event"
"イベント「{0}」で\\n達成したイベント全体報酬です。","Global rewards from \\nthe \"{0}\" event"
"イベント「{0}」\\nのライブ楽曲です。","A Live track from \\nthe \"{0}\" event"
"所持上限を超えて\\n獲得したアイテムです。","Items acquired over \\nthe possession limit."
"称号「{0}」の獲得報酬です。","Reward for earning\\nthe title \"{0}\"."
"「{0}」{1}日目で獲得した報酬です。","Reward earned on day \\n{1} of \"{0}\"."
"運営からのプレゼントです。","A gift from \\nmanagement."
"運営からのお詫びです。","Apology from \\nmanagement."
"運営からの補てんです。","Compensation\\nfrom management."
"事前登録キャンペーン達成報酬です。","Pre-registration\\ncampaign reward."
"事前登録キャンペーン第2R達成報酬です。","Pre-registration\\ncampaign 2R reward."
"メンテナンス協力のお礼です。","Compensation for\\nmaintenance."
"バージョンアップ協力のお礼です。","Compensation for\\nversion upgrades."
"事前登録ロングラン特別プレゼントです。","Special gift from \\nlong- run \\npre-registration."
"LinksMateの報酬です。","Reward for LinksMate."
"DMM GAMES版\\n応援キャンペーンのプレゼントです。","DMM GAMES ver. \\nreward for Support \\nCampaign."
"メインミッション「データ連携しよう」の報酬変更の補てんです。","Compensation for \\nreward change in \\nmain mission \"Let's \\nLink Data\"."
