"text", "translation"
"晴れわたる空のもと行われる、%course\n%ground%distance%race\n%h_num_noウマ娘たちが挑みます","Under clearing skies at %course, %ground %distance %race. %h_num_no Uma-musume will take on the challenge."
"曇り空のもと、%course\n%ground%distance%race\n%h_num_noウマ娘たちが挑みます","Under cloudy skies at %course, %ground %distance %race. %h_num_no horse girls take on the challenge!"
"足元悪い雨の中、%course\n%ground%distance%race\n%h_num_noウマ娘たちが挑みます","%ground %distance %race at %course. %h_num_no Uma-Musume take on the challenge in the rain."
"抜けるような青空のもと%course\n%ground%distance%race\n%h_num_noウマ娘たちが挑みます","Under %course's clear blue skies, %h_num_no Uma Musume are ready to take on the %ground %distance %race!"
"波乱の香り漂う曇り空のもと行われる\n%course\n%ground%distance%race\n%h_num_noウマ娘たちが挑みます","The %course %ground %distance %race %h_num_no horse girls will take on the challenge under cloudy skies with a hint of turbulence in the air."
"天が与えた試練の雨が、波乱含みの%course\n%ground%distance%race\nいよいよ出走です","It's finally time to run the %course %course %ground %distance %race, where the rain, a test given by the heavens, has caused some turbulence."
"寒さ続く%course、試練が待ち受けていた\n雪降る%race\n%ground%distance\n勝利にたどりつくのはどのウマ娘だ！","It is a cold %course and a snowy %race %ground %distance with a trial in waiting that will result in victory!"
"美しい青空が広がる、%course\nターフも絶好の良バ場になりました！","With beautiful blue skies, the %course turf has become a perfect buffer!"
"輝く太陽のもとに開かれている、%course\n良と発表されたバ場には、砂塵が舞っています","There is a cloud of dust in the baba, announced as %course good, open to the shining sun!"
"ゆったりと流れる美しい雲\n青空広がる、%course\n前日に降った雨のため\n絶好とはいえない稍重発表となりました","The beautiful clouds flowed slowly and the blue sky spread out, but the rain that fell the day before the %course made it a little heavy, not perfect."
"晴天のもとに開催される、%course\n降っては止みを繰り返した天気のため\nバ場状態は稍重の発表です","The %course will be held under sunny skies, and the weather conditions are expected to be a little heavy due to repeated showers."
"上空には灰色の空が広がる、%course\n天気はなんとか持ちこたえ、良バ場の発表です","With gray skies above, the weather at %course has managed to hold up, and a good track is announced!"
"どんよりした雲が空を覆う\n%course\nこの空を映したように芝は稍重の発表となりました","A cloudburst covered the sky %course, and the grass was a little heavy, reflecting this sky."
"時折雨が落ちる、%course\n天の気まぐれにより、\nバ場の引き締まった稍重発表となりました","Due to the fickle weather, with occasional rain falling at %course, the track is a little heavy, with the field tightening up."
"あいにくの雨が芝を濡らす、%course\nバ場状態の発表は重となってしまいました","Unfortunately, the rain was soaking the grass, and the announcement of the condition of the %course was heavy!"
"天から涙がこぼれる、%course\n重バ場発表となってしまったダートで\n過酷なレースが行われることとなりました","Tears spilled from the heavens as a grueling race was held on dirt that had been announced as a heavy %course!"
