"text", "translation"
"中距離で活躍したウマ娘","Uma Musume active in mid-distance"
"長距離で活躍したウマ娘","Uma Musume active in long-distance"
"マイルで活躍したウマ娘","Uma Musume active in mile"
"短距離で活躍したウマ娘","Uma Musume active in short-distance"
"スピードに優れたウマ娘","Uma Musume with excellent speed"
"スタミナが豊富なウマ娘","Uma Musume with plentiful stamina"
"パワーに自信のあるウマ娘","Uma Musume confident in her power"
"頭の回転が速いウマ娘","Astute Uma Musume"
"スピードのあるウマ娘","Speedy Uma Musume"
"スタミナのあるウマ娘","Uma Musume with stamina"
"パワーのあるウマ娘","Powerful Uma Musume"
"頭の切れるウマ娘","Smart Uma Musume"
"差しで活躍したウマ娘","Betweener Uma Musume"
"先行で活躍したウマ娘","Leader Uma Musume"
"粘り強さに自信のあるウマ娘","Uma Musume confident in her tenacity"
"逃げで活躍したウマ娘","Runner Uma Musume"
"粘り強いウマ娘","Steadfast Uma Musume"
