"text", "translation"
"ラストスパートであまり速く走れなかったら\\nスピード不足かもしれませんよ。","If you can't run very fast in the last spurt, you might lack speed."
"終盤で順位が下がりやすいなと思ったら\\nスタミナ切れかもしれませんよ。","Dropping positions at the end of the race may signal a lack of stamina."
"なかなか前に行かないなと思ったら\\nパワーをつけると良いかもしれませんよ。","If you feel like you're not moving forward very well, you might want more power."
"終盤の追い上げが課題だなと思ったら\\n根性が足りないのかもしれませんよ。","If catching up at the end is a challenge, you may not have enough guts."
"賢さが高いと、上手く位置取りできたり\\nスキルを発揮しやすいみたいですよ。","It seems high wisdom improves positioning and skill usage."
"マニーやサポートポイントが不足したら\\nデイリーレースに出走してみましょう。","If you run out of Money or Support Points, try running in the Daily Race."
"サポートカードやウマ娘の強化は\\nレースの勝利にかなり重要ですよ。","Strengthening support cards and horse girls is quite important for winning."
"レースの勝敗は、天気やレース展開など\\n時には運が左右することも……。","Sometimes luck plays a part in races, such as weather and race developments…"
"サポートカードのLvを上げると\\nより良いサポート効果が得られますよ。","You can get better support effects by raising the Lv of your support cards."
"サポートカードを上限解放して強化すると\\n強力なサポート効果が得られますよ。","Uncapping and strenghtening support cards can net you powerful support effects."
"サポート効果「やる気効果アップ」は、\\nマイナス効果もアップするので注意！","Note that \"Motivation Bonus\" also increases the negative effect!"
"サポート効果「友情ボーナス」は、\\n友情トレーニングの効果が高くなります。","\"Friendship Bonus\" increases the effectiveness of friendship training."
"サポート効果「パラメータボーナス」系は\\nトレーニングの際に効果を発揮しますよ。","The \"Stat Bonus\" type support effects will be effective during training."
"サポート効果「トレーニング効果アップ」は\\nどのトレーニングでも効果を発揮しますよ。","\"Training Effectiveness Up\" will be effective in any training."
"サポート効果「初期パラメータアップ」系は\\n高い基礎能力で育成を開始できますよ。","\"Initial Stat Increase\" effects allow you to start training with higher stats."
"サポート効果「初期絆ゲージアップ」は\\n早く絆ゲージを上げたい時にオススメです。","\"Initial Bond Gauge Up\" is useful to raise your bond gauge quickly."
"サポート効果「レースボーナス」と「ファン\\n数ボーナス」は目標レースも対象です。","\"Race Bonus\" and \"Fan Count Bonus\" also apply to target races."
"サポート効果「レースボーナス」は\\nスキルPtを獲得したい時にオススメです。","\"Race Bonus\" is recommended when you want to gain SkillPt."
"サポート効果「ヒントLvアップ」は、\\n一度に上がるヒントLvが高くなりますよ。","\"Hint Lv. Bonus\" increases the amount hint levels go up."
"サポート効果「ヒント発生率アップ」は\\nヒントイベントが起きやすくなりますよ。","\"Hint Rate Up\" will make it easier for hint events to occur."
"サポート効果「得意率アップ」は、\\n得意トレーニングに登場しやすくなります。","\"Specialty Rate Up\" increases appearance rate in their training specialty."
"サポート効果「イベント回復量アップ」は\\nイベントでの体力回復量が増えます。","\"Event Recovery Amount Up\" increases energy recovery in events."
"サポート効果「イベント効果アップ」は\\nイベントで得られる効果が上昇します。","\"Event Effect Increase\" will increase the effects obtained from events."
"サポート効果「失敗率ダウン」は、一緒に\\nトレーニングすると失敗しにくくなります。","\"Failure Rate Down\" makes it harder to fail a training with that card."
"サポート効果「体力消費ダウン」は、一緒に\\nトレーニングすると体力が減りにくいです。","\"Energy Discount\" lowers energy consumed when you train together."
"サポート効果「賢さ友情回復量アップ」は\\n友情トレーニングで多く体力が回復します。","\"Wisdom Training Recovery\" recovers lots of energy when friendship training."
"絆ゲージがオレンジになると、友情\\nトレーニングが発生するようになります。","An orange bond gauge enables friendship training."
"友情トレーニングが複数発生した場合は\\nさらに効果が高くなりますよ。","It's even more effective when multiple friendship trainings overlap."
"サポートカードを編成すると、そのカードに\\n沿ったイベントが発生しやすくなりますよ。","Events from chosen support cards, will occur much more easily."
"編成していないサポートカードの\\nイベントが発生することもありますよ。","Sometimes you'll get an event for a support card you don't have organized."
"育成ウマ娘と同じサポートカードは\\n編成できないので注意してくださいね。","You cannot include support cards of the horsegirl you are training."
"不要なサポートカードは蹄鉄に変換でき、\\nショップでアイテムと交換ができますよ。","Unwanted cards can be converted to horseshoes, exchangeable for items in the store."
"サポートカード詳細の「育成イベント」から\\n獲得可能なスキルヒントを確認できます。","\"Training Events\" in a card's details lists obtainable skill hints."
"育成ウマ娘は強化アイテムとマニーを\\n使用すると覚醒Lvが上げられますよ。","Horsegirl's Awakening Lv can be increased with Upgrade Items and Money."
"育成ウマ娘の覚醒Lvが上がると、育成\\n開始時に獲得可能なスキルが増えますよ。","Higher Awakening Lvs grant your Uma more skills at the start of training."
"覚醒Lvを上げる強化アイテムは、\\n育成のGⅢ以上のレースで\\n1着を取ると手に入りますよ。","Upgrade Items can be obtained by winning a race of GIII or higher in training."
"同じウマ娘のピースを集めることで\\n才能開花できるようになりますよ。","By collecting pieces of the same horse girl you can develop her talents."
"ウマ娘を才能開花すると固有スキルのLvや\\n基礎能力がアップしますよ。","Uncapping your horsegirl increases the Lv of her unique skills and base stats."
"★2以下の育成ウマ娘は★3以上になると\\n勝負服が獲得できますよ。","Uma Musu receive their Race Outfit when uncapped to ★3 or higher."
"不要なピースはクローバーに変換でき、\\nショップでアイテムと交換できますよ。","Convert unwanted pieces into clovers, exchangeable for items in the store."
"殿堂入りウマ娘は、継承やチーム競技場など\\n各種レースで活用できますよ。","Hall of Fame horse girls can be used in inheritance, team arena, and races."
"殿堂入りウマ娘は、一度移籍すると\\n元には戻せないので注意してくださいね。","Once a Hall of Fame Uma Musu has been transferred, she cannot be recovered."
"育成完了時の評価点はパラメータの合計値と\\n獲得スキルから計算されています。","An Uma's score in training is calculated from the value of stats and skills."
"殿堂入りウマ娘は、育成状況に応じて\\n確率で因子を獲得しますよ。","Uma Musu entering the Hall of Fame, gain chance and status based factors."
"因子にはレアリティがあり、★の数が\\n多いほど、効果が高くなります。","Factors have a rarity, and the more ★'s, the more effective."
"育成で良い結果を出すほど\\n多くの因子が獲得しやすくなります。","The better you do in training, the easier it is to acquire more factors."
"因子には育成開始時の継承イベントで\\n効果を発揮するものがあります。","Some factors have an effect on the inheritance event at the start of training."
"基礎能力の因子が発動すると\\nパラメータがアップします。","When the basic ability factor is activated, the parameter is increased."
"適性の因子が発動すると\\nバ場、距離、脚質の適性がアップします。","Aptitude factors increase aptitude for surface, distance, or running style."
"スキルの因子が発動すると\\nスキルのヒントLvがアップしますよ。","Skill factors grant you the skill or increase its Hint Lv."
"レースの因子が発動するとパラメータや\\nスキルのヒントLvがアップします。","When the race factor is activated, the parameter and skill Hint Lv is increased."
"既に獲得しているスキルの因子の継承効果が\\n発動するとステータスが上昇します。","Inheritance factors of already acquired skills increase status."
"継承ウマ娘は育成で利用しても、なくなら\\nないので、どんどん活用しましょう。","Parent horsegirls are not lost in inheritance, so use them without fear."
"継承ウマ娘はフレンドからマニーを使用\\nすることで、レンタルできますよ。","You can rent parent Uma Musume from your friends for Money."
"継承ウマ娘には相性が良い順番に\\n◎＞○＞△と表示されます。","Horsegirl compatibility is marked from highest: ◎ > ○ > △."
"クラスメイト、同室、メジロ家といった\\n関係性が相性の良さに影響するとか……。","Class/roommates, family, and such relationships may affect compatability…"
"サークルメンバーから継承ウマ娘をレンタル\\nする場合、マニーが割引されますよ。","Renting a parent horse girl from a circle member, grants a discount."
"時には、フレンドの「代表ウマ娘」の\\n育成情報も参考にしてみましょう。","Sometimes, it is useful to refer to the training info of friend's \"Main Uma Musu\"."
"掛かっていると焦って持久力を失います。\\n賢さを上げると発生しにくくなりますよ。","\"Kakari\" will cause panic and HP loss. Higher wisdom lowers the chance."
"コース取りが上手いと、前にウマ娘が\\nいる時にかわして前に進みやすいですよ。","Good lane changes ease dodging Uma Musu to move forward."
"短距離レースでは\\n特にスピードが重要です。","Speed is especially important in short distance races."
"マイルレースでは\\n特にスピードとパワーが大事です。","Speed and power are especially important in a mile race."
"中距離レースでは\\nバランスの良い基礎能力が大事です。","In middle-distance races, well-balanced basic abilities are important."
"長距離レースでは\\n特にスタミナと根性が大事です。","Stamina and guts are especially important in long distance races."
