"text", "translation"
"ウマ娘にはそれぞれ異なった目標があります。\n今回はこの目標を達成しましょう！","Each of the Uma Musume has a different goal.\nLet's accomplish these goals this time!"
"こちらは育成を進めていくうえでの\nコマンドです。","Here are the commands to proceed with the training."
"コマンドを1つ実行すると、\nターンを消費します。","Executing a single command consumes a turn."
"まずは『トレーニング』を選んでみましょう！","Let's choose \"Training\" first!"
"こちらがトレーニングの種類です！\nそれぞれ成長させられる能力が異なります。","Here are the different types of training!\nEach one has a different ability to be developed."
"試しに『スピード』を選んでみましょう！","Let's try and choose \"Speed\"!"
"次に、育成ウマ娘の体力について\nご説明いたしますね。","Next, I would like to explain the physical strength of the horse girl you are training."
"まずは先程と同じく、\nトレーニングを選んでみましょう。","First, as before, let's choose a training."
"こちらの『失敗率』にご注目ください。","Please pay attention to the \"failure rate\" here."
"残り体力が少ないほど、\n失敗率は高くなってしまいます。","The less energy you have left, the higher the failure rate will be."
"トレーニングに失敗すると、能力ややる気が\n下がってしまいますので、ご注意くださいね……！","Please note that if you fail to train, your ability and motivation will be reduced. ......!"
"では、1度戻ってみましょう。","Now, let's go back one degree."
"体力が減っている時には、ウマ娘を\nお休みさせて、体力を回復しましょう。","When you are low on energy, let your horse girl take a break to recover her strength."
"まず、こちらの『スキル』を選びましょう。","First, let's choose this \"Skill\"."
"次に、覚えるスキルを選んでください。\n先程のスキルポイントを使用します！","Next, choose a skill to learn.\nUse the skill points you just earned!"
"今回は、こちらのスキルを習得しましょう。","This time, let's learn this skill."
"では、戻りましょう。","Now, let's go back."
"これで準備は整いました！\nレースに出走しましょう！","Now we're all set!\nLet's get to the races!"
"出走できるレースがある場合、\nリストに表示されますよ。","If there is a race that you can run, it will show up in the list."
"今回は、こちらのレースに出走しましょう！","This time, let's run this race!"
"パドックでは、レースに出走するウマ娘の\n能力や人気などが確認できますよ！","In the paddock, you can check the abilities and popularity of the horse girls running in the race!"
"まずは予想印について説明しますね。印は、『◎』\n『○』『▲』『△』の順で高い評価を表します。","First of all, I'll explain the prediction marks. The \"◎\", \"○\", \"▲\", and \"△\" marks indicate higher ratings in that order."
"能力ややる気が高ければ高いほど期待が集まり、\nウマ娘の人気は高くなりやすいですよ。","The higher the ability and motivation, the higher the expectations, and the more popular the Uma Musume is likely to be."
"もちろん、必ず勝てるというわけではありませんが、\nやはり人気が高いほど良い結果は期待できますよ！","Of course, you can't always win, but again, the more popular you are, the better results you can expect!"
"また、パドックではウマ娘の作戦を\n変更することもできますよ。","You can also change the strategy of the horse girl in the paddock."
"作戦は、ウマ娘の得意なものを\n選ぶとよいでしょう。","The best strategy is to choose what the horse girl is good at."
"これで準備は整いました！\nさあ、いよいよレース出走です！！","Now we're all set!\nNow it's time to run the race!"
"育成お疲れ様でした！","Good job raising them!"
"スキルポイントが残っている場合は、\n使い忘れにご注意くださいね。","If you have any skill points left, please be careful not to forget to use them."
"では、これで育成完了です！","Well then, we're done growing!"
"育成完了したウマ娘は、一定の基準で評価されたのち\n『殿堂入りウマ娘』として登録されます。","Once a horse girl has been trained, she will be evaluated based on certain criteria and then registered as a \"Hall of Fame\" horse girl."
"最高ランクを目指してがんばってください！","Good luck in your quest for the highest rank!"
"育成が完了したウマ娘は\n『因子』を獲得することがあります。","Once the training is complete, the horse girl may acquire a \"factor\"."
"継承ウマ娘として選ぶことで、新たなウマ娘への\n想いを繋ぎ、こちらの『因子』を引き継げますよ！","By selecting a Uma Musume as your inherited Uma Musume, you can connect your feelings to a new Uma Musume and pass on the \"factor\" here!"
"1着おめでとうございます！","Congrats on your first place!"
"がんばったウマ娘のことを\nめいっぱい褒めてあげましょう！","Let's give all the praise we can to the Uma Musume for her hard work!"
"レース後、本来ウイニングライブが行われるのですが\n今回は研修中なので、割愛させていただきますね。","After the race, there is supposed to be a winning live performance, but since I'm in the middle of training, I'll skip it."
"育成はこれにて終了です！","We're done growing!"
"なお、研修は短かったですが、\n本来の育成期間は『3年間』です。","Although the training was short, the original training period was \"three years."
"担当ウマ娘との日々を、\n大切に過ごしてくださいね！","I hope you're spending your days with the ummah in your charge!"
"3つの印は専門家たちの予想を示し、\n人気はファンの方たちみんなの予想になります。","The three marks indicate the predictions of the experts, and the popularity is the prediction of all the fans."
