"text", "translation"
"私、スペシャルウィークって言います！\n夢は日本一のウマ娘です！お母ちゃんたちに\n喜んでもらうため…私、けっぱります！","My name is Special Week! My dream is to be the best horse girl in Japan! I'm gonna pull my own weight in order to make my moms proud!"
"サイレンススズカです。走るのが好きです。\n先頭は、誰にも譲りません。\nえっと…………その、以上です","I'm Silence Suzuka. I like to run. I'm not giving the lead to anyone. Um… That's all."
"やっほー、トウカイテイオーだよ！\n無敗の三冠ウマ娘になるボクのこと、\nぜーったい見逃さないでよねっ！","Heya, I'm Tokai Teio! I'm going to be an undefeated Triple Crown horse girl, so don't let me out of your sight!"
"ハァーイ、マルゼンスキーよ！\n君も見にきたんでしょ？異次元の走り。\nふふっ♪首ったけになっても…知らないゾ♪","Hi, I'm Maruzensky! Did you come to see this new style of running too? Hehe ♪ Even though I'm crazy about it… I don't know how to feel ♪"
"みんなを楽しませる漆黒のエンターテイナー\nフジキセキだよ！最高の“キセキ”で、\n君を必ず笑顔にしてみせるからね！","I'm the jet-black entertainer, Fuji Kiseki! I'll make you smile with my best \"miracle\"!"
"私はオグリキャップ。\n故郷のみんなに喜んでもらえるよう、\n精一杯頑張るつもりだ。よろしく頼む","I am Oguri Cap. I'm going to do my best to make everyone in my hometown happy. Please take care of me."
"よう、ゴールドシップ様だ！たとえ\n火の中、芝の中！宇宙の果てでも関係ねえ！\nどこまでも面白いモン探しに行ってやるぜ☆","Yo, I'm Gold Ship! I don't care if its on the turf, on fire, or at the edge of the universe, I'm going to find something interesting wherever I can! ☆"
"おっす、ウオッカだ！俺のポリシーは、\n誰よりもカッケーウマ娘でいること！\nダッセェことはしねーかんな。覚えとけ！","Yo, I'm Vodka! My goal is to be the coolest horse girl in the world! I'm not gonna do anything stupid. Remember that!"
"こんにちは、ダイワスカーレットです！\n精一杯頑張り…って、アンタか。ふんっ！\n目指すは1番よ。それ以外はないんだから！","Hello, I'm Daiwa Scarlet! I'll do my best to… Hmph! I'm going to be number one. That's all!"
"ハウディ！タイキシャトルです！\nワタシのパワフルな走りでみんなを\nハッピーにしちゃいマスよー！","Howdy! I'm Taiki Shuttle! I'm here to make everyone happy with my powerful running!"
"グラスワンダーと申します。\nウマ娘として生まれたからには、その“道”\nを果てまで窮めたいものですね。ふふっ♪","My name is Grass Wonder. Since I was born as a horse girl, I want to pursue this path to the end. Hehe ♪"
"いいツラ構えの奴が大勢いるねえ…\nへへっ、全員このヒシアマ姐さんが\n相手してやるよ！さあ、タイマンだっ！","There are a lot of good lookin' people here… hehe. I'll take them all on, I'm Hishiama! Come on, let's get to it!"
"メジロマックイーンと申します。我が生家、\nメジロ家の悲願である『天皇賞』の制覇――\nこの両脚で、必ず果たしてみせますわ","My name is Mejiro McQueen. Conquering the \"Spring Tennosho\" has been a long-cherished goal of the Mejiro family, and I will do it with my own two legs."
"コースを駆ける真紅の怪鳥！\nエルコンドルパサー参・上・デース！\n世界を目指してカッ飛びますよー！","I'm the crimson bird that runs the course! El Condor Pasa is closing in! I'm flying around the world!"
"はーっはっはっは！ボクこそが最も強く\n美しい“覇王”テイエムオペラオーさ！\nいざ、伝説を始めようじゃないか！","Haa-ha-ha-ha! I am the strongest and most beautiful of them all, the \"Supreme King\", T.M. Opera O! Now, let the legend begin!"
"…ナリタブライアンだ。\nわざわざ語って聞かせるような話はない。\nただ走り、ブッちぎって勝つだけだ","…I'm Narita Brian. I don't have a story to tell you. I just run, crush, and win."
"私はシンボリルドルフ。あらゆるウマ娘の\n頂点に立ち導く“皇帝”たらんとする者だ。\n同じ志を抱く者よ、共に勇往邁進して征こう","I am Symboli Rudolf. I am the one who will stand at the top of every horse girl and lead them to become \"Emperors\". Those of you who share my aspirations, let's work together to conquer the world!"
"エアグルーヴだ。信念を曲げなければ\n理想は必ず芽吹く。それを示すため\n私が“女帝”として皆の指針となろう","I am Air Groove. If you don't bend your beliefs, your ideals will surely sprout. In order to demonstrate this, I, the Empress, will be the guiding light for everyone."
"お疲れちゃん！デジたんですっ！\nキラキラのウマ娘ちゃんたちを推してます！\n毎日幸せ！ヲタクに生まれてよかった～♪","Hewwo! I'm Digi-tan! I'm a massive fan of all of the sparkling horse girls! I'm so happy every day! I'm so glad I was born an otaku!～♪"
"やっほー、セイウンスカイだよー。\n適度にテキトーにのーんびりしてこー。\n…大物を狙うなら、待つ時間も大事でしょ？","Yahoo-, it's Seiun Sky. Take your time and relax. …When you're aiming for a big goal, it's important to take your time, right?"
"タマモクロスや！ウチはな、レースで勝って\n勝って勝ちまくって名前を売るんや！ナリが\nちっさいからって、なめとったらあかんで！","Ah'm Tamamo Cross! A'hm gonna win'n win'n win to make a name for myself! Don't underestimate me just 'cause ah'm small!"
"ご機嫌よう、ファインモーションです！私、\n素敵な思い出をたくさん作りたいの。まずは\n美味しいラーメン屋さんを知りたいな♪","Good day, I'm Fine Motion! I want to make lots of great memories. First things first, I want to know where the best noodle shops are. ♪"
"ビワハヤヒデだ。私の目的は、完全なる\n勝利の方程式を組み立てること。…あと、\n私の頭は一般的なサイズだからな！","I'm Biwa Hayahide. My goal is to assemble the perfect winning formula. …Also, I have a normal sized head!"
"えへへ、マヤちんだよーっ☆\nワクワクすることとか～、シゲキの\nあることが大好きなんだっ♪よろしくー！","Ehehe, I'm Mayachin!☆ I love thrilling and exciting things～ Nice to meet'cha!"
"…マンハッタンカフェ、です。\n私には…追いつきたい友だちがいます…。\nいつも私の前を走る子…ほら、そこに…","…I am Manhattan Cafe. I have a friend I want to catch up to… The girl who always runs in front of me… She's right there…"
"私の名はミホノブルボン。\n目標は三冠ウマ娘に設定されています。\n脚質などは別データをご参照ください","My name is Mihono Bourbon. My goal is locked onto becoming a Triple Crown horse girl. Please refer to my data for legwork and other information."
"メジロライアンって言います！\n体を鍛えて元気よく！筋肉育てて\n健やかに！張り切って行きましょう！","My name is Mejiro Ryan! Train your body, stay healthy! Grow some muscle, stay fit! Let's go for it!"
"ボノボーノ♪ヒシアケボノだよ～☆\n料理も走りも、大っっきな愛情込めて\nみんなに届けるから！よろしくね～♪","I'm Hishi Akebono ♪, I'll put lo～ts of love into both cooking and running for everybody! It's nice to meet you!～"
"あ、あたしはユキノビジン言います！\nチンクルシリーズでイケてるシチーガールに\nなるのが夢です！ふぅ…ちゃんと言えたぁ…","Oh, my name is Yukino Bijin! My dream is to become a stylish city gal in the Twankle Series! Phew… I hope I said that right…"
"ライスシャワー…です。あ、あのね…？\nライス、みんなを不幸にする…だめな子なの\nでも…か、変われるように…がんばります！","I'm… Rice Shower. Um… I'm a useless girl who makes others unhappy… but I'm trying my best to change!"
"はろはろ～！アイネスフウジンなの！\n家族みーんなに喜んでもらえるように、\nレースもバイトもいっぱいがんばるの～！","Hey hey～! I'm Ines Fujin! I'm going to race and work hard to make sure my family is happy!～"
"君も興味ないかい。ウマ娘がどこまで\n速くなれるのか。もしあるのなら…この私、\nアグネスタキオンのモルモットになりたまえ","Aren't you interested about how fast a horse girl can go? If you are, I, Agnes Tachyon, would like you to be my guinea pig."
"アドマイヤベガよ。……もう行っていい？\nもっとトレーニングして、レースに勝って、\n私は一等星にならないといけないから","Admire Vega. …Can I go now? I need to train more, win more races, and I need to become a first magnitude star."
"てやんでい！あたしはイナリワンってんだ！\n見ての通りチャキチャキの江戸っ子でい！\n誰よりでっかいウマ娘になってやらぁっ！","The hell are ya sayin'?! I'm Inari One! As you can see, I'm an efficient child of Edo! I wanna become the biggest horse girl of them all!"
"アタシ、アタシ！ダービーウマ娘になるのが\n夢なんだ！あとは…あーっ！！名前！！！！\nウイニングチケットです！よろしくねーッ！","My… My… My dream is to be a Derby horse girl! And then there's… ah! My name!!!! My name is Winning Ticket! Nice to meet you!"
"エアシャカールだ。どんな勝負でもデータが\nものをいう。シミュレーションに問題はねェ\nねじ伏せてやるよ、ロジカルにな","I'm Air Shakur. In any case, data speaks louder than victory or defeat. I don't have a problem with simulation, I'll screw you over, logistically."
"エイシンフラッシュと申します。\nウマ娘の伝統を守る為、私は走り続けます。\nどんなレースも全てはスケジュール通りに","My name is Eishin Flash. In order to keep the tradition of horse girls alive, I will continue to run. Every race and everything else is on schedule."
"Currenこと、カレンチャンでーす！\n世界を“カワイイ”で包んじゃいます☆\nよそ見はめっ。カレンだけを見ててね♪","I'm Curren, a.k.a. Curren Chan! I'm going to wrap the world in \"cuteness\"!☆ Don't look away, just look at Curren ♪"
"おーっほっほ！私はカワカミプリンセス…\nそう、気品高き姫の中の姫！レースでも\n可憐にぶっ飛ばして差し上げますわっ！！","Oh-ho-ho! I am Kawakami Princess… yes, a princess above all princesses! I'll daintily knock you off of your feet at the races!"
"ゴールドシチー。…言っとくけど、アタシの\nことお人形扱いしたら許さないから。\n見た目じゃなくて、走りで判断してよね","Gold city. …Just letting you know, I won't forgive you if you treat me like a doll. I don't want you to judge me by my looks, but by the way I run."
"こんにちはッ！サクラバクシンオーです！\nご覧の通り、優秀な委員長でもあります！\nみなの模範となるべく、いざ！バクシーン！","Hello! My name is Sakura Bakushin O! As you can see, I am a brilliant class representative! Let's set a great example for everyone! BAKUSHIIIN!"
"ほーっほっほっほ！シーキングザパールよ！\n知ってる？世界は可能性に満ちているの。\n私がそれを証明してみせるわ！","Haa-ha-ha-ha! It's Seeking the Pearl! Guess what? The world is full of possibilities, and I'm gonna prove it to you!"
"ガオ～ッ！シンコウウインディなのだ！\nビビったか？正直に怖いって言えなのだ～！\n…おいっ！無視するなっ！ガブーッ！","Roar～! It's Shinko Windy! You scared? You can tell me if you're scared～! …Hey! Don't ignore me! Grrrrr!"
"スイープトウショウは変身前の名前！\nアタシは魔法少女スイーピーなの！\nこれが魔法よ！えいっ！！（ゴンッ）",""
"うふふっ、スーパークリークですよ～。\nみんなの笑顔のためなら、う～んと\n頑張っちゃいます。お任せください♪","Tee-hee… it's Super Creek!～ I'll do my best to make everyone smile. Please leave it to me ♪"
"スマートファルコンでーっす！ファル子って\n呼んでね！私、ウマドルになるのが夢なの！\nサインはいつでも受付中だよっ☆","I'm Smart Falcon! You can call me Falco! My dream is to become a Umadol! Autographs are always welcome ☆"
"ゼンノロブロイと申します。その…こんな私\nですが、英雄譚に憧れていまして…いつか\nレースの中で、私の物語を描きたいです…！","My name is Zenno Rob Roy. Well… this is me… but I'm longing for a heroic tale… I want to create my story within a race someday…!"
"あたしはトーセンジョーダン。夢は……\nって感じの、固い話NGだからよろ～☆\nとりまネイル見てよ？イケてるっしょ？","I'm Tosen Jordan. My dream is… actually, serious topics are NG～☆ Anyways, look at my nails! Aren't they cool?"
"ナカヤマフェスタだ。\n生ぬるいレースじゃ、スリルを感じねぇ。\nなァ…もっとアツくヒリつかせてくれよ…！","It's Nakayama Festa. Halfhearted races don't give me a thrill. Hey… Let me feel the intense heat of the race…!"
"ナリタタイシン。以上。アタシはただ\n勝ちまくって、バカにしたヤツらに\nわからせたいだけ。…ほっといて","Narita Taishin. That's all. I just want to win and shove it in the faces of the ones who made fun of me… Leave me alone."
"こんにちは、ニシノフラワーです。\nみなさんに頼ってもらえるくらい、素敵な\nおねえさんウマ娘になりたいです…！",""
"わたし、ハルウララ！にんじんとね、\nあとは、たのしいから走るのがだ～い好き♪\n1着めざして、めいっぱいがんばるぞーっ！","I'm Haru Urara! I love carrots and I lo～ve running because it's fun!♪ I'm going to try my very best to finish first!"
"ちわっス！バンブーメモリーっス！\n鬼の風紀委員長の名にかけて\nビシバシ走るっスよー！！","Hey there! Bamboo Memory! I'm going to run hard to earn the name of \"Demon Chairman of the Public Discipline Committee\"!"
"正義のヒーロー、ビコーペガサス参上！\nアタシの走りはどんな強敵もバーンと倒して\nみんなを笑顔にするんだ！すごいだろ！","The hero of justice, Biko Pegasus, is here! I can take down any formidable foe and make everyone smile! Isn't that great!"
"ハイハーイ、マーベラスサンデーでーす！\n全世界に、マーベラスな気持ちを届けるよ！\nさぁ、みんなも一緒にマーベラース！",""
"どうも！マチカネフクキタルって言います！\nシラオキ様のお告げを信じて、福を掴む日を\n待ちかねつつ…日夜占いに励んでいます！","Hello! They call me Matikanefukukitaru! I believe in the divine messages of Shiraoki-sama, and I constantly am working on my fortune telling, waiting for the day I'll be blessed with good fortune!"
"レースにしかない風があるんだ。軽くて、\n澄んでいて……自由気ままな追い風でね。\n――アタシはミスターシービー。よろしく。",""
"メ、メイショウドトウです…！あの、あの、\n私、自分に自信が持てるようになりたくて、\n精一杯、努力しゅてま…か、かんだっ！",""
"どうも…えっと、メジロドーベルです。\nアタシもメジロ家のウマ娘だし、それに\n恥じない走り…をするつもり、です",""
"あー…ナイスネイチャでーす。あはは、\nやっぱ『素晴らしい素質』なんて名前負け\nですよねー…まーぼちぼちやってきましょ？",""
"おーっほっほ！私の名前はキングヘイロー。\n一流のウマ娘として最高の結果を残すわ！\n…この私の才能を世界中に示すためにもね！",""
"やっほー、マチカネタンホイザだよ。\nみんなに負けないよう、張り切って\n練習しちゃ…え、今日はお休み！？","Yoo-hoo, I'm Matikanetannhauser. I've been practicing hard so I won't lose to anyon — Oh, today's my day off?!"
"イクノディクタスと申します。\nマネジメントならお任せください。\n鉄の意志で徹底管理してみせます",""
"メジロパーマーだよ！元気してる～？\nま、なんかあったらいつでも聞くからさ。\n気軽に話しちゃってよ♪",""
"ウェーーイ！ダイタクヘリオスでぇーっす！\nテンアゲなレースブチかましてくんで、\n過去イチのコールよろしくー☆",""
"ツインターボだー！\nターボ1番とるもん、ぜったいとるもんっ！\nいっくぞー、ターボぜんかーーーい！！",""
"サトノダイヤモンドと申します。\n最初から決まった運命なんてありません。\n未来は、私の走りで輝かせてみせます！",""
"あたしはキタサンブラック！\nお祭りみたいにみんなが盛り上がる\n最高のレースを目指して、全力で駆けるよ！",""
"サ、サクラチヨノオーです！\n憧れのあの人と、夢の舞台に立つために\nこの想い――花開かせてみせますっ！",""
"シリウスシンボリだ！\nレースに御託はいらねぇ。黙って見てな。\n世界を獲って“最強”を証明してやるよ",""
"メジロアルダンと申します。\nこの脚は儚くとも、誇り高く走りたい…\n一瞬でもいい。私はレースで輝きたいのです",""
"ヤエノムテキです。金剛八重垣流の\n門弟として、強者とのレースを所望します。\nいざ、尋常に勝負！！",""
"ツルマルツヨシ！憧れの『三冠ウマ娘』\n目指して！とにかく全力をっ――…ゲホッ！\n…む、むせただけです！超元気です大丈夫！",""
"…………まあ？　自己紹介の時間ですの？\nうふふっ、メジロブライトと申します。\nメジロ家の一員として励みますわ～。",""
"サクラローレルです。目指すのは、世界。\n凱旋門賞です！――ふふ、今はただの『夢』\nですけど…いつか必ず実現してみせます",""
"こんにちは、ナリタトップロードです！\n応援してくださるみなさんの期待に\n応えられるよう、全力を尽くします！","Hello, I'm Narita Top Road! I will do my best to live up to the expectations of all of the ones who support me!"
"……ヤマニンゼファーです。\n私が目指すのは、風…なによりも速く、\n自由に駆ける――風に、なりたいのです",""
"――シンボリクリスエスだ。シンボリ家には\n恩がある。その1人として、掲げた目的も\n与えられたmissionも――遂行するのみ",""
"俺はタニノギムレット！求めるのは理想の\n“ワタシ”。仮棲まいの己を騙る気はない。\n壊せよ、蹴破れ――そして進みな、終焉へ！",""
"ダイイチルビーと申します。\n至上であることこそ、我が一族の務め。\n己の責務を果たすべく、邁進して参ります",""
"マーちゃんです。アストンマーチャン。\nいずれ世界のマスコットになります。\nその瞳でまっすぐ見ていてくださいね",""
"…おれは、ケイエスミラクルです。\nこの命をくれた、みんなに報いて…\n必ず、奇跡を起こします",""
"リッキー☆ラッキー☆大吉祥☆\nコパノリッキーだよっ！風水の力で\nキミにもハッピーを呼び込んであげる♪",""
"ワンダーアキュートじゃ。\nのんびりしとるが、コツコツやるのは\n得意なんよ。よろしゅうねぇ",""
"こんにちは、トレセン学園の理事長秘書、\n駿川たづなです。みなさんが、より良い\n学園生活を送れるよう、支えてまいります♪",""
"こんにちは、桐生院葵です。トレセン学園の\n新人トレーナーです。まだまだ未熟者ですが\nウマ娘の為、精一杯、努めて参ります！",""
"凄腕笹針師（の弟子）、安心沢刺々美よ。\nあたしにかかればブスッとパワーアップ！\nワォ、あんし～ん☆",""
"樫本理子です。ウマ娘の健康を預かるのは\nトレーナーの役目。緊張感をもって業務に\n当たるのは当然です。",""
"私、ライトハローはイベント企画を主な業務\nとしております。ステージで輝くみなさんの\nお手伝いを…少しだけさせてくださいね",""
