"text", "translation"
"臨場感のある食レポ","Giving in-depth food critiques"
"走り続けること","Running"
"誰とでも友達になること","Befriending anybody"
"ドリフト","Drifting"
"誰かをあっと驚かせること","Surprising others"
"美味しくご飯を食べること","Eating food"
"表情筋を動かすこと","Moving her facial muscles"
"エアバイク","Riding air-motorcycles"
"勉強、家事全般","Studying and housework"
"ポジティブシンキング","Positive thinking"
"和菓子、日本文化全般、競技かるた","Japanese sweets, Japanese culture in general, competitive karuta."
"手料理を振る舞うこと","Serving homemade food"
"テーブルマナー","Table manners"
"プロレス","Pro-wrestling"
"即興のオペラを披露すること","Performing impromptu operas"
"クルミを割ること","Cracking walnuts"
"チェス","Chess"
"花を育てること","Growing flowers"
"マッサージ技術は神業クラス","Her massage techniques are in a league of their own"
"昼寝、釣り","Napping and fishing"
"暗算（金額限定）","Mental math (limited)"
"ケンカの仲裁","Settling disputes"
"片付け","Tidying up"
"大抵のことはなんでも","Mostly anything and everything"
"コーヒーを淹れること","Brewing coffee"
"にらめっこ","Staring"
"筋トレ","Muscle training"
"お菓子作り、相撲","Baking and sumo wrestling"
"鍋料理、雪合戦","Hot pots, snowball fights"
"絵を描くこと","Drawing"
"時短料理","Quick at cooking"
"研究、甘いものと紅茶","Research, sweets, and tea"
"朗読、寒さ","Reading, cold weather"
"射的、型抜き、金魚すくい","Target Shooting, Mold Cutting, Goldfish Scooping"
"全力応援、全力感動","Full of support, full of emotion"
"プログラミング","Programming"
"模写","Imitation"
"自撮り、ピアノ","Taking selfies, playing the piano"
"Gの駆除（物理）","Killing cockroaches"
"モデルウォーキング","Model walking"
"頼りにされること、人助け","Being dependable, helping others"
"パントマイム、プレゼン","Pantomime, Presentations"
"いたずら、穴掘り、屋根の上に登ること","Pranks, digging holes, climbing on roofs"
"草花の名前当て（たまにオリジナル）","Guessing the names of plants and flowers (sometimes made-up)"
"お世話","Helping others"
"名前と顔を覚えること","Remembering names and faces"
"正確無比な道案内","Accurate and unparalleled directions"
"ネイル、バスケットボール","Nails, basketball"
"植物と小動物の世話","Looking after plants and small animals"
"ゲーム、家事","Video games, housework"
"家事全般、園芸","General housework, gardening"
"いっしょうけんめいがんばること","Persisting with all her might"
"早寝早起き、即断即決！","Early to bed, early to rise, quick decisions!"
"占い","Fortune-telling"
"短歌を詠むこと、放浪の旅、ポーカー","Composing tanka, wandering journeys, poker"
"めげないこと、演歌","Never giving up, Enka"
"紅茶の銘柄に詳しい","Knowledgeable about tea brands"
"卓球、美味しいおつまみ探し","Table tennis, searching for tasty snacks"
"デザインやファッション関係","Anything design and fashion related"
"綱引き、恋のアドバイス（本人談）","Tug-of-war, Love advice (her own words)"
"ゴルフ、穴掘り","Golf, digging holes"
"ババ抜きはレべチ、映える爆盛り","Mad good at Old Maid, crazy fashionable"
"限界突破","Exceeding limits"
"約束を忘れないこと、クレーンゲーム","Remembering promises, crane games"
"マッサージ","Massages"
"和菓子作り、整理整頓","Making Japanese sweets, organization"
"包帯を綺麗に巻くこと","Wrapping bandages neatly"
"裁縫、雑巾がけ","Sewing, dusting"
"ドールの衣装づくり","Making doll costumes"
"サラダはわんこそばのように食べられる","Eating salad as if it was wanko soba"
"タンギング、凧あげ、即興で歌って踊ること","Tonguing, flying kites, song & dance improv"
"プロテインドリンクを作ること","Making protein drinks"
"万年筆の扱い、チェス","Using a fountain pen, chess"
"生物観察、ダーツ","Observing life, darts"
"掃除、断捨離、植物の世話","Cleaning, decluttering, plant care"
"苫小牧クイズ、山登り","Tomakomai quizzes, climbing mountains"
"ビーズ細工、大根の飾り切り","Bead crafts, decorative cutting of daikon"
