"text", "translation"
"実は、利き牛乳ができる。","Can differentiate milks blindfolded."
"実は、ペン回しが得意。","She is actually pretty good at pen spinning."
"実は、歴代トップの前屈記録保持者。","Is the record holder in Sit and Reach."
"実は、助手席だと車酔いしやすい。","Tends to get carsick when in the passenger seat."
"実は、シルクハットから鳩が出せるし、\\n何もないところからシルクハットが出せる。","Can conjure doves out of top hats, and top hats out of nothing."
"実は、爪を綺麗に切るのがとても上手い。","Actually good at beautifully cutting her nails."
"実は、雑学クイズに恐ろしく強い。","Actually terrifyingly good at trivia quizzes."
"実は、カウンターの上で\\nグラスを滑らせる練習をしている。","Actually practices sliding glasses over a counter."
"実は、定規を使わなくても\\n真っ直ぐ線が引ける。","Can actually draw straight lines without ruler."
"実は、ファストドローの大会で\\n優勝したことがある。","Actually won a quickdraw tournament."
"実は、スカート丈に\\nひそかなこだわりがある。","Secretly very particular about skirts."
"実は、あて布のセンスが独特。","Actually has a unique unique taste in ironing cloths."
"実は、『かっとばせー！』という\\n自分の寝言で起きることがある。","Actually woke herself up once, yelling \"Kick some ass!\""
"実は、マスク専用の柔軟剤を持っている。","Has a special fabric softener for masks."
"実は、耳飾りのデザインを、\\n1度だけ大きく変更したことがある。","Actually made one major change to her ear decoration's design."
"実は、一度見た相手の顔は忘れない。","Actually never forgets a person's face."
"実は、虫嫌いだが\\nテントウムシだけは好き。","Actually hates bugs, but does like ladybugs."
"実は、びっくりするほど猫舌。","Surprisingly cat-tongued."
"実は、どんな紙を渡されても\\nよく飛ぶ飛行機が折れる。","Can actually fold a good plane from any kind of paper."
"実は、汗拭きシート選びに\\nたくさん時間をかけている。","Actually spends a lot of time choosing sweat towels."
"実は、朝食だけはパン派。","Actually prefers bread for breakfast."
"実は、海外からひんぱんに\\n小包みが届いている。","Receives packages from overseas frequently."
"実は、インナー選びにはかなりこだわる。","Is actually very particular about her choice of innerwear."
"実は、目覚ましは2分間隔で何度も鳴る。","Her alarm goes off several times at two-minute intervals."
"実は、『香車』のコマをお守りにしている。","Uses a \"lance\" shogi piece as a talisman."
"実は、おもちを丸めるのが上手。","Actually very good at shaping mochi."
"実は、『ふんいき』が言えない。","Actually can't pronounce 'funiki'."
"実は、書道の段位を持っている。","Actually holds a Dan rank in calligraphy."
"実は、冷蔵庫の余りもの整理の達人。","Actually an expert at organizing leftovers in the fridge."
"実は、当たるまでくじを引き続け、\\nお財布を空っぽにしたことがある。","Once emptied her wallet by continuing to play a lottery until she won."
"実は、最後尾を走っている時は\\nプラカードを持ちたくなる。","Actually gets the urge to hold a placard when running at the back of the pack."
"実は、もやしとはんぺんメインの\\n得意料理がたくさんある。","Is good at many dishes with bean sprouts and hanpen."
"実は、リフティングが大得意。","Actually a master at keepie uppies."
"実は、ヘアスプレーのレビュアー。","Actually a reviewer of hairsprays."
"実は、登山好き。","Actually likes climbing mountains."
"実は、父親の冗談のせいで\\n雷が鳴ったら尻尾をとられると思っている。","Thinks thunder will take her tail because of her father's joke."
"実は、編み込みの腕だけは\\nプロのヘアスタイリスト並み。","Her braiding skills are on par with a professional hair stylist."
"実は、同級生から月に3回以上は\\n『お姉ちゃん』と呼び間違えられる。","Is mistakenly called 'oneechan' by classmates at least thrice a month."
"実は、右クリックの時だけ\\n体が右に傾くクセがある。","Has a habit of leaning to the right when right-clicking."
"実は、童話の語り聞かせが得意。","Is actually good at telling fairy tales."
"実は、手書きPOPの腕がプロ級。","Her Tegaki POP skills are pro level."
"実は、音ゲー専用のプレイヤー名がある。","Has a dedicated username for rhythm games."
"実は、お手玉なら永遠に続けられる。","Can juggle otedama beanbags forever."
"実は、授業中に悪い奴が現れた時の対処法を\\n10パターン以上考えている。","Has thought up over 10 responses for when a bad guy shows up in class."
"実は、古代遺跡に詳しい。","Is actually knowledgeable on ancient ruins."
"実は、激辛派。","Actually likes super spicy food."
"実は、自作の少女漫画ノートが\\n引き出しの奥深くに眠っている。","Self-made shoujo manga notebooks lie deep in her drawer."
"実は、咥えている枝は自家栽培。","The twig in her mouth is homegrown."
"実は、ノートを使い切るのがやたら早い。","Runs out of notebooks at an excessive pace."
