"text", "translation"
"スペシャルウィークの\\nなまらうまい！特製にんじんチョコ",""
"サイレンススズカの\\nホワイトいちごトリュフ",""
"トウカイテイオーの\\nトリプルクラウンカヌレ",""
"マルゼンスキーの\\nチョコパンナコッタ","Maruzensky's Chocolate Panna Cotta"
"フジキセキの\\n“For my Valentine”チョコケーキ",""
"オグリキャップの\\nさつまいも入りたっぷりココア蒸しパン",""
"ゴールドシップの\\nすだちとその仲間たち",""
"ウオッカの\\n特製タンデムチョコレート",""
"ダイワスカーレットの\\nティアラ型ボンボンショコラ",""
"タイキシャトルの\\nTBLバーガー",""
"グラスワンダーの\\nほろほろ和菓子アソート","Grass Wonder's Assortment of Tender Japanese Confections"
"ヒシアマゾンの\\n真心・愛情・栄養！アツい三拍子マフィン",""
"メジロマックイーンの\\nお茶会のための手作りチョコモンブラン",""
"エルコンドルパサーの\\nレッドホットチョコレート",""
"テイエムオペラオーの\\n覇王の覇王による君のためのチョコレート",""
"ナリタブライアンの\\nバナナチップ入りチョコブラウニー",""
"シンボリルドルフの\\n感恩戴徳アイスチョコケーキ",""
"エアグルーヴの\\n爛漫アソートチョコレート","Air Groove's Luxurious Chocolates Assortment"
"アグネスデジタルの\\n愛のお重☆ウマ娘ちゃんチョコ",""
"セイウンスカイの\\nチョコミントドームケーキ",""
"タマモクロスの\\nたこ焼きベビーカステラ",""
"ファインモーションの\\nロイヤルクローバータルト",""
"ビワハヤヒデの\\n方程式に基づいたバナナケーキ",""
"マヤノトップガンの\\nオランジェットチョコケーキ",""
"マンハッタンカフェの\\nオリジナルブレンド『三日月の道しるべ』","Manhattan Cafe's Original Blend \"Crescent Moon Signpost\""
"ミホノブルボンの\\nメモリモジュール風アイシングクッキー","Mihono Bourbon's Cookies with RAM-styled Icing"
"メジロライアンの\\nマッスルブラウニー",""
"ヒシアケボノの\\n愛情たっぷり土鍋ちゃんこプリン",""
"ユキノビジンの\\nチョコ味きりせんしょ",""
"ライスシャワーの\\nしあわせの青いバラケーキ",""
"アイネスフウジンの\\nビタミン満点カップケーキ","Ines Fujins's vitamin-rich cupcakes"
"アグネスタキオンの\\n安心安全ドリンク付きチョコ","Agnes Tachyon's Totally Safe Drinks & Choco Combo"
"アドマイヤベガの\\n手作りフルーツサンドウィッチ",""
"イナリワンの\\n黒雷おこし～彩～","Inari One's Black Thunder Strike ～Meld～"
"ウイニングチケットの\\n食べごたえ抜群クレープ",""
"エアシャカールの\\nホットチョコレートドリンク",""
"エイシンフラッシュの\\nザッハトルテ",""
"カレンチャンの\\nカワイイエクレア♪",""
"カワカミプリンセスの\\nプリンセス☆アフタヌーンティーセット",""
"ゴールドシチーの\\nチョコクランチバー",""
"サクラバクシンオーの\\n大バクシン！チョコディップ桜餅","Sakura Bakushin O's Big Bakushin! Chocolate-dipped Sakura Mochi"
"シーキングザパールの\\nザ・ブリリアントワールドショコラ",""
"シンコウウインディの\\nパチパチ牙キャンディー",""
"スイープトウショウの\\nグランマと作った魔法のチョコクッキー",""
"スーパークリークの\\n手作り焼き菓子3種セット",""
"スマートファルコンの\\nファン1号限定チョコレート☆",""
"ゼンノロブロイの\\n英雄薫り立つチェリーボンボン",""
"トーセンジョーダンの\\nMilk＆Darkツインカラーポップコーン",""
"ナカヤマフェスタの\\nコイン型チョコ",""
"ナリタタイシンの\\nほろ苦ほろ甘手作り夜食",""
"ニシノフラワーの\\nお花のクロカンブッシュ",""
"ハルウララの\\nチョコいっぱいにんじんパンケーキ",""
"バンブーメモリーの\\n真心込めて溶かし固めたチョコ！",""
"マチカネフクキタルの\\n絶対開運フォーチュンクッキー",""
"メイショウドトウの\\nアイスボックスクッキー27作目",""
"メジロドーベルの\\nお絵描きドーナツトリオ",""
"ナイスネイチャの\\n手作りチョコまんじゅう","Nice Nature's Handmade Chocolate Buns"
"キングヘイローの\\n一流チョコレートトライフル",""
"マチカネタンホイザの\\nごくごく普通なチョコマフィン",""
"メジロパーマーの\\nパリピ風ハニートースト",""
"ダイタクヘリオスの\\n映えすぎMAXチョコみざわ☆",""
"サトノダイヤモンドの\\nカレイドスコープチョコレート",""
"キタサンブラックの\\nキタ印・謹製かりんとうチョコ饅頭",""
"サクラチヨノオーの\\nサクラワンコオーチョコ大福",""
"メジロアルダンの\\n手作りチョコレートムース",""
"ヤエノムテキの\\n手づくり焼チョコ最中",""
"メジロブライトの\\nじっくり作ったドリップケーキ",""
"ヤマニンゼファーの\\n山風からのおすそわけどんぐりチョコ",""
"アストンマーチャンの\\n忘れられないメモリークッキー",""
"コパノリッキーの\\n手作り開運マンディアン",""
"ホッコータルマエの\\nハスカップジャムサンドクッキー",""
"ワンダーアキュートの\\n手作りカントリークッキー",""
